ID_Intervention,Date,ID_Machine,Type_Panne,Duree_Arret_h,Technicien,Pieces_Changees
INT-00001,2024-09-04,CVY-005,Fuite,11.75,Marie Simon,"Fusible 10A, Roulement SKF 6205, Câble 3G2.5"
INT-00002,2024-10-27,CMP-004,Fuite,30.00,Nicolas Michel,Câble 3G2.5
INT-00003,26-01-2024,CNC-002,Panne Électrique,4.25,Marie Simon,"Filtre hydraulique HF35, Joint torique NBR 40x3"
INT-00004,2024-09-11,PMP-001,Panne Mécanique,25.75,Marie Simon,Courroie HTD 800-8M
INT-00005,2024-06-14,CNC-005,Panne Mécanique,41.75,Marie Simon,Relais temporisé
INT-00006,2024-02-23,CNC-002,panne pneumatique,29h45,Nicolas Michel,Joint torique NBR 40x3
INT-00007,2024-11-15,CVY-003,Panne Hydraulique,7.25,Alexandre Petit,
INT-00008,2024-07-29,PMP-002,Fuite,0.75,Alexandre Petit,"Câble 3G2.5, Vérin pneumatique ISO 6432"
INT-00009,2024-09-21,PMP-010,Usure Normale,38.50,Alexandre Petit,"Filtre hydraulique HF35, Relais temporisé"
INT-00010,2024-01-24,MOT-007,Panne Électrique,3.25,Julie Moreau,"Variateur ATV320, Roulement SKF 6205, Vérin pneumatique ISO 6432"
INT-00011,2024-01-20,CNC-009,Défaut Capteur,18.50,Alexandre Petit,"Relais temporisé, Electrovanne 5/2"
INT-00012,2024-08-21,MOT-001,PANNE HYDRAULIQUE,25.00,S.Bernard,
INT-00013,2024-06-05,PMP-001,Panne Pneumatique,41.25,Thomas Laurent,"Câble 3G2.5, Relais temporisé"
INT-00014,2024-02-29,CVY-001,Défaut Capteur,46.25,Marie Simon,Capteur inductif M12
INT-00015,2024-08-29,PMP-008,Panne Électrique,22.75,Martin Dupont,"Joint torique NBR 40x3, Contacteur LC1D09, Huile ISO VG 68"
INT-00016,2024-12-14,CMP-008,Fuite,1.50,Thomas Laurent,Relais temporisé
INT-00017,2024-03-10,MOT-002,surchauffe,33.50,Thomas Laurent,Variateur ATV320
INT-00018,2024-12-18,CMP-005,Surchauffe,45.25,RODRIGUEZ,
INT-00019,2024-08-10,CMP-009,Usure Normale,37.75,Alexandre Petit,Filtre hydraulique HF35
INT-00020,2024-08-06,PMP-004,Usure Normale,3.00,Julie Moreau,Roulement SKF 6205; Courroie HTD 800-8M
INT-00021,2024-02-05,MOT-003,,23.25,Thomas Laurent,Electrovanne 5/2
INT-00022,2024-12-07,CMP-004,Fuite,46.75,Julie Moreau,Roulement SKF 6205
INT-00023,2024-02-02,MOT-003,Vibrations Anormales,11.75,Thomas Laurent,
INT-00024,2024-01-10,CMP-004,Panne Électrique,23.00,Isabelle Garcia,
INT-00025,2024-12-13,CNC-010,Panne Mécanique,14.75,Sophie Bernard,"Variateur ATV320, Huile ISO VG 68, Fusible 10A"
INT-00026,2024-07-10,PMP-002,Défaut Capteur,39.50,Celine Lefebvre,Fusible 10A
INT-00027,2024-01-17,CVY-005,Panne Électrique,34.50,Pierre Rodriguez,Fusible 10A
INT-00028,19-05-2024,MOT-010,Défaut Capteur,44.75,Julie Moreau,"Contacteur LC1D09, Vérin pneumatique ISO 6432"
INT-00029,2024-11-12,CNC-009,Fuite,21.00,Martin Dupont,"Relais temporisé, Disjoncteur C16"
INT-00030,2024-10-01,CMP-006,Panne Hydraulique,29.50,Céline Lefebvre,
INT-00031,2024-05-27,CNC-006,Panne Mécanique,18.25,Martin Dupont,Electrovanne 5/2
INT-00032,2024-01-30,CMP-010,,19.25,Celine Lefebvre,"Variateur ATV320, Electrovanne 5/2"
INT-00033,2024-11-09,CNC-007,Fuite,32.0,Martin Dupont,"Roulement SKF 6205, Capteur inductif M12, Huile ISO VG 68"
INT-00034,2024-11-03,CNC-003,Défaut Capteur,48.50,Martin Dupont,"Courroie HTD 800-8M, Câble 3G2.5"
INT-00035,2024-11-28,MOT-009,Surchauffe,43.00,Martin Dupont,
INT-00036,2024-06-21,PMP-003,Panne Hydraulique,43.00,Pierre Rodriguez,Roulement SKF 6205
INT-00037,2024-07-03,CNC-001,Usure Normale,11.50,Pierre Rodriguez,Huile ISO VG 68
INT-00038,2024-03-06,CNC-009,Panne Mécanique,43.00,N.Michel,Contacteur LC1D09
INT-00039,2024-10-10,PMP-007,Surchauffe,30.25,Nicolas Michel,"Electrovanne 5/2, Variateur ATV320"
INT-00040,2024-11-01,CVY-004,Fuite,20.75,Nicolas Michel,"Joint torique NBR 40x3, Variateur ATV320"
INT-00041,2024-05-05,CVY-003,Panne Mécanique,32.50,Nicolas Michel,"Filtre hydraulique HF35, Joint torique NBR 40x3"
INT-00042,2024-01-22,PMP-002,Surchauffe,13.50,Thomas Laurent,Roulement SKF 6205
INT-00043,2024-04-13,CNC-001,Panne Hydraulique,27.0.75,T.Laurent,Vérin pneumatique ISO 6432
